agent_id;dh_id;agent_name;msisdn;status;created_at;updated_at;hub_manager_id
BD10732309_01;18f127ea-c2e7-4587-be17-e5cddf4e6207;M/S BB TRADERS_Agent01;1310037383;ACTIVE;2026-03-28 05:15:13.426756+00;2026-03-28 05:15:13.426756+00;
BD10732309_02;18f127ea-c2e7-4587-be17-e5cddf4e6207;M/S BB TRADERS_Agent02;1310037393;ACTIVE;2026-03-28 05:15:13.426756+00;2026-03-28 05:15:13.426756+00;
BD10642993_01;e2f147af-bbcb-4a65-a08f-7e0aaabe0de4;GK COMMUNICATION_Agent01;1315750270;ACTIVE;2026-03-28 05:15:13.426756+00;2026-03-28 05:15:13.426756+00;
BD10642993_02;e2f147af-bbcb-4a65-a08f-7e0aaabe0de4;GK COMMUNICATION_Agent02;1315750280;ACTIVE;2026-03-28 05:15:13.426756+00;2026-03-28 05:15:13.426756+00;
BD10722275_01;5661a6bf-78fc-461c-8a29-89641468d251;AM Communication_Agent01;1315750765;ACTIVE;2026-03-28 05:15:13.426756+00;2026-03-28 05:15:13.426756+00;
BD10722275_02;5661a6bf-78fc-461c-8a29-89641468d251;AM Communication_Agent02;1315750775;ACTIVE;2026-03-28 05:15:13.426756+00;2026-03-28 05:15:13.426756+00;
BD10648950_01;c5a12c01-f0c2-41c8-b1c8-e3367a55a7bc;M/S Alam Trading_Agent01;1315754921;ACTIVE;2026-03-28 05:15:13.426756+00;2026-03-28 05:15:13.426756+00;
BD10648950_02;c5a12c01-f0c2-41c8-b1c8-e3367a55a7bc;M/S Alam Trading_Agent02;1315754931;ACTIVE;2026-03-28 05:15:13.426756+00;2026-03-28 05:15:13.426756+00;
BD10695504_01;a872354a-5c5c-4522-b702-5fea24461319;M/S ZAYEEMA TRADING_Agent01;1315756308;ACTIVE;2026-03-28 05:15:13.426756+00;2026-03-28 05:15:13.426756+00;
BD10695504_02;a872354a-5c5c-4522-b702-5fea24461319;M/S ZAYEEMA TRADING_Agent02;1315756318;ACTIVE;2026-03-28 05:15:13.426756+00;2026-03-28 05:15:13.426756+00;
BD10660913_01;d934c905-9c55-4a4d-9c11-e6fdf973303b;M/S Mamun & Brothers_Agent01;1315758536;ACTIVE;2026-03-28 05:15:13.426756+00;2026-03-28 05:15:13.426756+00;
BD10660913_02;d934c905-9c55-4a4d-9c11-e6fdf973303b;M/S Mamun & Brothers_Agent02;1315758546;ACTIVE;2026-03-28 05:15:13.426756+00;2026-03-28 05:15:13.426756+00;
BD10647964_01;04244791-18c3-4b26-84c4-86ecf522bebf;M/S Jannat Enterprise_Agent01;1315758710;ACTIVE;2026-03-28 05:15:13.426756+00;2026-03-28 05:15:13.426756+00;
BD10647964_02;04244791-18c3-4b26-84c4-86ecf522bebf;M/S Jannat Enterprise_Agent02;1315758720;ACTIVE;2026-03-28 05:15:13.426756+00;2026-03-28 05:15:13.426756+00;
BD10640413_01;c6b343d9-7ef1-41f8-b5e7-f119c73bafba;M/S D J ENTERPRISE_Agent01;1315760924;ACTIVE;2026-03-28 05:15:13.426756+00;2026-03-28 05:15:13.426756+00;
BD10640413_02;c6b343d9-7ef1-41f8-b5e7-f119c73bafba;M/S D J ENTERPRISE_Agent02;1315760934;ACTIVE;2026-03-28 05:15:13.426756+00;2026-03-28 05:15:13.426756+00;
BD10635765_01;f1692d45-0ec1-4296-8509-c703f172ac10;Shakat Telecom_Agent01;1315762740;ACTIVE;2026-03-28 05:15:13.426756+00;2026-03-28 05:15:13.426756+00;
